crop,temperature,rainfall,humidity,soil_type,season,yield
Rice,26,1100,71,loamy,kharif,3.9
Rice,28,1350,77,clay,kharif,4.2
Rice,30,1600,82,silty,whole_year,4.5
Rice,32,2050,88,loamy,kharif,4.9
Rice,34,2500,92,clay,whole_year,5.2
Wheat,13,470,43,loamy,rabi,2.9
Wheat,17,600,50,clay,rabi,3.5
Wheat,21,760,59,silty,rabi,3.9
Wheat,23,800,62,loamy,rabi,4.1
Maize,22,700,56,loamy,kharif,3.4
Maize,27,920,64,sandy,kharif,4.0
Maize,31,1080,69,silty,whole_year,4.3
Maize,35,1300,75,loamy,kharif,4.6
Cotton,26,660,45,loamy,kharif,2.3
Cotton,30,800,51,sandy,kharif,2.7
Cotton,34,980,59,clay,whole_year,3.0
Cotton,37,1100,64,loamy,kharif,3.2
Sugarcane,25,1200,62,loamy,kharif,5.0
Sugarcane,29,1550,68,silty,whole_year,5.6
Sugarcane,33,2100,74,clay,kharif,6.1
Sugarcane,35,2500,78,loamy,whole_year,6.5
Soybean,21,720,53,loamy,kharif,2.6
Soybean,26,890,59,clay,kharif,2.9
Soybean,30,1080,65,silty,whole_year,3.2
Soybean,33,1200,69,loamy,kharif,3.4
Groundnut,25,640,47,sandy,kharif,2.1
Groundnut,29,820,52,loamy,rabi,2.4
Groundnut,33,1020,57,sandy,zaid,2.7
Groundnut,36,1150,63,loamy,kharif,2.9
Millet,30,310,29,sandy,kharif,1.7
Millet,35,420,34,loamy,zaid,2.1
Millet,39,360,31,sandy,kharif,1.9
Millet,42,290,28,loamy,kharif,1.7
Potato,10,440,51,loamy,rabi,5.0
Potato,14,600,60,silty,rabi,5.9
Potato,17,730,66,sandy,rabi,6.4
Potato,19,800,70,loamy,rabi,6.7
Tomato,19,530,50,loamy,rabi,7.1
Tomato,23,640,56,sandy,zaid,7.6
Tomato,27,760,63,silty,whole_year,8.0
Tomato,30,860,68,loamy,rabi,8.2
Banana,25,1200,62,loamy,kharif,7.5
Banana,29,1620,73,clay,whole_year,8.2
Banana,33,2250,79,silty,whole_year,8.8
Banana,35,2600,83,loamy,kharif,9.0
Chickpea,11,300,29,loamy,rabi,1.6
Chickpea,15,410,34,sandy,rabi,1.9
Chickpea,19,520,40,chalky,rabi,2.2
Chickpea,22,600,45,loamy,rabi,2.4
Sunflower,20,550,37,loamy,kharif,2.2
Sunflower,25,640,42,sandy,rabi,2.5
Sunflower,30,790,49,silty,zaid,2.7
Sunflower,34,870,53,loamy,whole_year,2.9
Barley,10,340,31,loamy,rabi,2.6
Barley,14,430,36,clay,rabi,2.9
Barley,18,530,41,sandy,rabi,3.2
Barley,22,620,47,loamy,rabi,3.5
Turmeric,23,1300,62,loamy,kharif,3.3
Turmeric,27,1620,68,clay,whole_year,3.6
Turmeric,31,2050,73,silty,kharif,4.0
Turmeric,33,2300,76,loamy,whole_year,4.2
Coconut,25,1580,64,loamy,whole_year,4.2
Coconut,29,2020,74,sandy,whole_year,4.8
Coconut,33,2700,80,loamy,whole_year,5.1
Coconut,35,3000,83,sandy,whole_year,5.4
Lentil,12,310,34,loamy,rabi,1.4
Lentil,16,430,40,clay,rabi,1.7
Lentil,20,540,46,sandy,rabi,2.0
Lentil,24,620,52,loamy,rabi,2.2
Mustard,12,330,33,loamy,rabi,1.5
Mustard,16,450,39,sandy,rabi,1.8
Mustard,20,560,45,clay,rabi,2.1
Mustard,24,640,51,loamy,rabi,2.3
Onion,18,480,44,loamy,rabi,7.9
Onion,22,600,52,silty,kharif,8.5
Onion,26,740,58,clay,rabi,9.2
Onion,30,880,64,loamy,whole_year,9.8
Garlic,14,380,37,loamy,rabi,4.8
Garlic,18,500,44,sandy,rabi,5.4
Garlic,22,640,52,clay,rabi,6.0
Garlic,25,720,57,loamy,rabi,6.3
Mango,24,1000,60,loamy,kharif,3.6
Mango,28,1320,66,sandy,whole_year,4.2
Mango,32,1750,72,loamy,kharif,4.7
Mango,36,2200,77,sandy,whole_year,5.2
Papaya,24,1000,63,loamy,kharif,15.0
Papaya,28,1300,68,sandy,whole_year,18.5
Papaya,32,1800,75,loamy,kharif,22.0
Papaya,36,2200,80,sandy,whole_year,25.0
Watermelon,27,440,38,sandy,zaid,12.5
Watermelon,31,530,43,loamy,kharif,15.0
Watermelon,35,470,40,sandy,zaid,13.5
Watermelon,38,390,36,loamy,kharif,12.0
Tea,16,1500,73,loamy,whole_year,1.9
Tea,20,1800,78,silty,kharif,2.3
Tea,24,2200,82,loamy,whole_year,2.6
Tea,28,2600,86,silty,kharif,2.9
Coffee,18,1200,68,loamy,kharif,1.3
Coffee,22,1550,73,silty,whole_year,1.6
Coffee,26,2000,78,loamy,kharif,1.9
Coffee,29,2300,81,silty,whole_year,2.1
